Wall time,Step,Value
1745008152.8738253,1250,6.960386144783115e-06
1745008168.7915347,1275,6.896902050357312e-06
1745008405.7224143,1300,6.833417955931509e-06
1745008422.070178,1325,6.769933861505706e-06
1745008438.116606,1350,6.706449767079903e-06
1745008454.2136557,1375,6.642966127401451e-06
1745008470.472116,1400,6.579482032975648e-06
1745008707.1837044,1425,6.5159979385498445e-06
1745008723.0186732,1450,6.4525138441240415e-06
1745008738.6523488,1475,6.3890297496982384e-06
1745008754.5539346,1500,6.325546110019786e-06
1745008771.0265114,1525,6.262062015593983e-06
1745008787.3872097,1550,6.19857792116818e-06
1745009026.1453547,1575,6.135093826742377e-06
1745009041.9847174,1600,6.071609732316574e-06
1745009057.6223054,1625,6.008126092638122e-06
1745009073.1720662,1650,5.944641998212319e-06
1745009088.9552221,1675,5.881157903786516e-06
1745009104.2926464,1700,5.817673809360713e-06
1745009341.1432571,1725,5.754190169682261e-06
1745009357.1619287,1750,5.6907060752564576e-06
1745009373.6817899,1775,5.6272219808306545e-06
1745009390.3181593,1800,5.5637378864048515e-06
1745009406.2690108,1825,5.500253791979048e-06
1745009647.9555073,1850,5.436770152300596e-06
1745009664.3311565,1875,5.373286057874793e-06
1745009680.6286583,1900,5.30980196344899e-06
1745009697.0690718,1925,5.246317869023187e-06
1745009713.5807648,1950,5.182833774597384e-06
1745009730.1183774,1975,5.119350134918932e-06
1745009975.3850713,2000,5.055866040493129e-06
1745009991.0196314,2025,4.992381946067326e-06
1745010007.5921016,2050,4.928897851641523e-06
1745010023.7167826,2075,4.86541375721572e-06
1745010039.7124987,2100,4.8019301175372675e-06
1745010055.5671153,2125,4.7384460231114645e-06
1745010294.4915144,2150,4.674961928685661e-06
1745010309.7518795,2175,4.611477834259858e-06
1745010325.3117342,2200,4.547993739834055e-06
1745010341.326032,2225,4.484510100155603e-06
1745010356.7948365,2250,4.4210260057298e-06
1745011039.9361722,2275,4.357541911303997e-06
1745011107.5871513,2300,4.294057816878194e-06
1745011122.617797,2325,4.230573722452391e-06
1745011137.7697728,2350,4.167090082773939e-06
1745011194.8254614,2375,4.103605988348136e-06
1745011250.970465,2400,4.040121893922333e-06
1745011583.004357,2425,3.97663779949653e-06
1745011612.981721,2450,3.9131537050707266e-06
1745011682.4999568,2475,3.849670065392274e-06
1745011756.4771771,2500,3.7861859709664714e-06
1745011830.6584017,2525,3.7227018765406683e-06
1745011899.26042,2550,3.6617573186958907e-06
1745012796.1135836,2575,3.5982732242700877e-06
