Wall time,Step,Value
1744810378.5194736,2175,4.611477834259858e-06
1744810393.2111804,2200,4.547993739834055e-06
1744810407.9685316,2225,4.484510100155603e-06
1744810422.6931071,2250,4.4210260057298e-06
1744810664.4569707,2275,4.357541911303997e-06
1744810679.4743528,2300,4.294057816878194e-06
1744810694.47907,2325,4.230573722452391e-06
1744810709.4376907,2350,4.167090082773939e-06
1744810724.1928618,2375,4.103605988348136e-06
1744810738.9411492,2400,4.040121893922333e-06
1744810979.566013,2425,3.97663779949653e-06
1744810994.4923577,2450,3.9131537050707266e-06
1744811009.37513,2475,3.849670065392274e-06
1744811024.3292441,2500,3.7861859709664714e-06
1744811039.2903862,2525,3.7227018765406683e-06
1744811054.251521,2550,3.6592177821148653e-06
1744811295.2227407,2575,3.5957339150627377e-06
1744811309.9106216,2600,3.5322498206369346e-06
1744811324.722516,2625,3.468765953584807e-06
1744811339.5212317,2650,3.405281859159004e-06
1744811354.259629,2675,3.341797764733201e-06
1744811594.452633,2700,3.2783138976810733e-06
1744811609.7967293,2725,3.2148298032552702e-06
1744811625.2425706,2750,3.1513459362031426e-06
1744811640.1858432,2775,3.0878618417773396e-06
1744811655.1199644,2800,3.0243777473515365e-06
1744811670.148816,2825,2.960893880299409e-06
1744811910.9077392,2850,2.897409785873606e-06
1744811925.6463842,2875,2.8339259188214783e-06
1744811940.336465,2900,2.7704418243956752e-06
1744811955.408921,2925,2.7069579573435476e-06
1744811971.1129603,2950,2.6434738629177446e-06
1744811986.6383958,2975,2.5799897684919415e-06
1744812227.0784733,3000,2.516505901439814e-06
1744812241.776189,3025,2.453021807014011e-06
1744812256.4189045,3050,2.3895379399618832e-06
1744812271.2244356,3075,2.32605384553608e-06
1744812286.173446,3100,2.262569751110277e-06
1744812529.5009103,3125,2.1990858840581495e-06
1744812544.4864967,3150,2.1356017896323465e-06
1744812559.552356,3175,2.072117922580219e-06
1744812574.5555491,3200,2.008633828154416e-06
1744812589.5541587,3225,1.9451497337286128e-06
1744812604.7762845,3250,1.8816658666764852e-06
1744812846.952238,3275,1.8181817722506821e-06
1744812862.1228974,3300,1.7546977915117168e-06
1744812877.3249989,3325,1.6912138107727515e-06
1744812892.5075831,3350,1.6277298300337861e-06
1744812907.8928754,3375,1.5642458492948208e-06
1744812923.010219,3400,1.5007617548690178e-06
1744813166.5571058,3425,1.4372777741300524e-06
1744813182.4931448,3450,1.373793793391087e-06
1744813198.0969605,3475,1.3103098126521218e-06
1744813213.0555987,3500,1.2468258319131564e-06
1744813228.2430913,3525,1.1833418511741911e-06
1744813243.7060342,3550,1.119857756748388e-06
1744813486.015542,3575,1.0563737760094227e-06
1744813501.1833513,3600,9.928897952704574e-07
1744813516.292975,3625,9.294058145314921e-07
1744813532.3276293,3650,8.659217769491079e-07
1744813548.438154,3675,8.024377962101426e-07
1744813790.9307787,3700,7.389537586277584e-07
1744813805.9716105,3725,6.75469777888793e-07
1744813821.0484626,3750,6.119857971498277e-07
1744813835.9515278,3775,5.485017595674435e-07
1744813850.9607227,3800,4.850177788284782e-07
1744813866.0568683,3825,4.215337696678034e-07
1744814107.1843026,3850,3.5804976050712867e-07
1744814122.5654204,3875,2.9456577976816334e-07
1744814138.5985024,3900,2.3108177060748858e-07
1744814154.348763,3925,1.6759776144681382e-07
1744814169.7470205,3950,1.0411376649699378e-07
1744814185.3062456,3975,4.0629760889032696e-08
