Wall time,Step,Value
1744826428.0536416,142,4.5229997634887695
1744827064.2778413,284,4.961999893188477
1744827631.7747722,426,5.796999931335449
1744828146.5998745,568,6.36899995803833
1744828725.8083608,710,5.261000156402588
1744829332.7384186,852,5.23799991607666
1744829838.6562169,994,6.421999931335449
1744830343.3153322,1136,6.4019999504089355
1744830847.001533,1278,6.447999954223633
1744831361.1462061,1420,6.224999904632568
1744831877.8160608,1562,6.232999801635742
1744832393.7697175,1704,6.209000110626221
1744832909.2188694,1846,6.256999969482422
1744833422.6324255,1988,6.25
1744833933.8682404,2130,6.238999843597412
1744834444.1807725,2272,6.2129998207092285
1744834950.3424525,2414,6.3470001220703125
1744835449.6347601,2556,6.409999847412109
1744835946.5247278,2698,6.4720001220703125
1744836445.41807,2840,6.4029998779296875
1744836945.6159377,2982,6.421999931335449
1744837441.122989,3124,6.486000061035156
1744837944.2663507,3266,6.388999938964844
1744838459.4189591,3408,6.118000030517578
1744839269.7833393,3550,3.2790000438690186
1744840545.580336,3692,2.816999912261963
1744841401.7549024,3834,6.35099983215332
1744841913.1997948,3976,6.252999782562256
