Wall time,Step,Value
1745142500.2042189,142,4.697999954223633
1745143081.5236251,284,4.973999977111816
1745143697.8557312,426,4.632999897003174
1745144295.0302882,568,4.5879998207092285
1745144914.5804996,710,4.613999843597412
1745145523.6125052,852,4.704999923706055
1745146081.5506456,994,5.293000221252441
1745146715.0491555,1136,4.492000102996826
1745147197.833116,1278,6.0279998779296875
1745147672.2920134,1420,6.145999908447266
1745148149.302966,1562,6.127999782562256
1745148695.6875908,1704,5.059000015258789
1745149250.5065432,1846,4.949999809265137
1745149885.5871475,1988,4.478000164031982
1745150517.9322448,2130,4.497000217437744
1745151160.8391893,2272,4.379000186920166
1745151650.6126,2414,6.223999977111816
1745152159.3115573,2556,5.5329999923706055
1745152778.4285736,2698,4.625999927520752
1745153399.983442,2840,4.599999904632568
1745154026.5922186,2982,4.61299991607666
1745154646.408658,3124,4.586999893188477
1745155266.2810683,3266,4.611999988555908
1745155883.878156,3408,4.6020002365112305
1745156504.639391,3550,4.618000030517578
1745157122.4353995,3692,4.60699987411499
1745157626.2476976,3834,6.179999828338623
1745158099.938741,3976,6.14900016784668
