Wall time,Step,Value
1745005878.8727977,142,3.7760000228881836
1745006191.6645494,284,9.050999641418457
1745006505.9152045,426,9.079999923706055
1745006831.8792763,568,9.1899995803833
1745007141.6283987,710,9.223999977111816
1745007451.78077,852,9.210000038146973
1745007767.3006277,994,9.180999755859375
1745008080.444631,1136,9.201000213623047
1745008391.8764956,1278,9.232999801635742
1745008703.9113145,1420,9.25100040435791
1745009017.6550586,1562,9.182999610900879
1745009327.6476264,1704,9.248000144958496
1745009645.2102373,1846,9.055999755859375
1745009967.558125,1988,8.92300033569336
1745010282.2599897,2130,9.135000228881836
1745011031.1284406,2272,3.0889999866485596
1745011576.1840494,2414,6.748000144958496
1745012746.4698756,2556,2.4600000381469727
1745013450.9204764,2698,6.9770002365112305
1745014311.7929852,2840,3.3269999027252197
1745015131.1889567,2982,3.438999891281128
1745016162.371504,3124,2.625
1745017280.3098996,3266,2.4730000495910645
1745017916.7337415,3408,9.147000312805176
1745018233.3756945,3550,8.949999809265137
1745018551.5801876,3692,8.845999717712402
1745018868.0403833,3834,8.92300033569336
1745019272.2478948,3976,7.159999847412109
