Wall time,Step,Value
1745005878.8727977,142,1.6956344842910767
1745006191.6645494,284,1.5613138675689697
1745006505.9152045,426,1.4680371284484863
1745006831.8792763,568,1.3831866979599
1745007141.6283987,710,1.3174560070037842
1745007451.78077,852,1.2531144618988037
1745007767.3006277,994,1.2168641090393066
1745008080.444631,1136,1.1847317218780518
1745008391.8764956,1278,1.1402751207351685
1745008703.9103115,1420,1.1175354719161987
1745009017.6550586,1562,1.089760661125183
1745009327.6476264,1704,1.0639389753341675
1745009645.2102373,1846,1.0477956533432007
1745009967.558125,1988,1.022550106048584
1745010282.2599897,2130,1.002772569656372
1745011031.1284406,2272,0.9896410703659058
1745011576.1840494,2414,0.9749507308006287
1745012746.4698756,2556,0.953440248966217
1745013450.9204764,2698,0.9364561438560486
1745014311.7929852,2840,0.9336512684822083
1745015131.1889567,2982,0.9220300912857056
1745016162.371504,3124,0.9058084487915039
1745017280.3098996,3266,0.8939692974090576
1745017916.7337415,3408,0.8986451029777527
1745018233.3756945,3550,0.891598105430603
1745018551.5801876,3692,0.885073184967041
1745018868.0403833,3834,0.8808171153068542
1745019272.2468927,3976,0.877095103263855
