Wall time,Step,Value
1745141921.3994336,25,11.177900314331055
1745141947.556009,50,10.54010009765625
1745141981.930565,75,9.474200248718262
1745142014.6188025,100,8.183899879455566
1745142044.7013452,125,7.164599895477295
1745142507.9833019,150,6.392199993133545
1745142535.394655,175,5.724800109863281
1745142566.3175335,200,5.148799896240234
1745142597.264256,225,4.721099853515625
1745142630.2233326,250,4.345300197601318
1745142660.6583266,275,4.115600109100342
1745143103.1150336,300,3.737600088119507
1745143133.576412,325,3.581399917602539
1745143164.6388185,350,3.460099935531616
1745143194.9845264,375,3.2098000049591064
1745143225.3703463,400,3.0701000690460205
1745143255.864938,425,2.9191999435424805
1745143723.65035,450,2.785099983215332
1745143748.2532656,475,2.7432000637054443
1745143772.8554208,500,2.6547000408172607
1745143797.616878,525,2.6054999828338623
1745143827.9759407,550,2.4869000911712646
1745144306.588453,575,2.4472999572753906
1745144337.2631528,600,2.3924999237060547
1745144367.7457159,625,2.3863000869750977
1745144398.296062,650,2.302799940109253
1745144428.8394597,675,2.250699996948242
1745144459.7670608,700,2.2651000022888184
1745144933.012236,725,2.1742000579833984
1745144963.9565985,750,2.1882998943328857
1745144995.1577573,775,2.1191000938415527
1745145025.6766486,800,2.1603000164031982
1745145056.375247,825,2.123500108718872
1745145087.1432223,850,2.1166000366210938
1745145554.001368,875,2.0271999835968018
1745145584.3724198,900,1.9816999435424805
1745145613.9179964,925,1.996899962425232
1745145642.7013988,950,2.0190000534057617
1745145672.345919,975,1.937000036239624
1745146089.1637788,1000,1.9680999517440796
1745146120.7446384,1025,1.892300009727478
1745146152.291402,1050,1.9395999908447266
1745146183.8583968,1075,1.8783999681472778
1745146215.1058002,1100,1.9153000116348267
1745146246.5381205,1125,1.8451000452041626
1745146731.0295632,1150,1.844599962234497
1745146756.254753,1175,1.8422000408172607
1745146781.2607062,1200,1.8899999856948853
1745146806.192934,1225,1.854599952697754
1745146831.2364092,1250,1.867900013923645
1745146856.063104,1275,1.7879999876022339
