Wall time,Step,Value
1744825803.4175007,25,3.2167000770568848
1744825841.3643286,50,3.088200092315674
1744825879.4686892,75,2.9786999225616455
1744825912.0937872,100,2.8580000400543213
1744825949.0424964,125,2.8910000324249268
1744826441.0509286,150,2.7860000133514404
1744826480.5526848,175,2.7388999462127686
1744826519.985234,200,2.7957000732421875
1744826560.1277363,225,2.6572000980377197
1744826599.5541081,250,2.5715999603271484
1744826638.7936337,275,2.480799913406372
1744827091.8613412,300,2.5344998836517334
1744827128.4459238,325,2.5685999393463135
1744827167.914699,350,2.5116000175476074
1744827206.9270945,375,2.4377999305725098
1744827244.1391737,400,2.4358999729156494
1744827278.220844,425,2.4238998889923096
1744827669.7691529,450,2.3605000972747803
1744827704.365599,475,2.359100103378296
1744827736.9314742,500,2.3828001022338867
1744827769.7000678,525,2.277899980545044
1744827802.4489198,550,2.2451000213623047
1744828157.2285082,575,2.251800060272217
1744828189.8340497,600,2.2193000316619873
1744828222.5667083,625,2.1465001106262207
1744828255.231042,650,2.2035000324249268
1744828287.8192017,675,2.1875
1744828324.4208553,700,2.144399881362915
1744828748.9517558,725,2.1373000144958496
1744828788.0720794,750,2.0826001167297363
1744828827.3657138,775,2.101099967956543
1744828866.1917167,800,2.078700065612793
1744828904.0961723,825,2.125200033187866
1744828939.8039796,850,2.094099998474121
1744829364.965419,875,2.0634000301361084
1744829397.6801322,900,1.9673999547958374
1744829430.438749,925,2.006700038909912
1744829463.1986737,950,1.9891999959945679
1744829495.7772782,975,1.9478000402450562
1744829846.5545938,1000,1.9544999599456787
1744829879.1443264,1025,1.9430999755859375
1744829912.028628,1050,1.9230999946594238
1744829944.8076963,1075,1.8725999593734741
1744829977.451116,1100,1.9227999448776245
1744830010.0873468,1125,1.9032000303268433
1744830363.3765483,1150,1.8969999551773071
1744830395.8689106,1175,1.8707000017166138
1744830428.4896266,1200,1.9199999570846558
1744830461.107776,1225,1.8287999629974365
1744830493.8674974,1250,1.8621000051498413
1744830526.4043467,1275,1.826300024986267
1744830875.567633,1300,1.8241000175476074
1744830908.1754012,1325,1.8047000169754028
1744830941.084598,1350,1.8688000440597534
1744830973.9037626,1375,1.8037999868392944
1744831006.7140343,1400,1.8246999979019165
1744831370.125498,1425,1.8353999853134155
1744831402.9593792,1450,1.8176000118255615
1744831435.8527231,1475,1.8408000469207764
1744831468.655458,1500,1.7922999858856201
1744831501.4795613,1525,1.7790000438690186
1744831534.5428264,1550,1.7963999509811401
1744831894.982651,1575,1.8322999477386475
1744831927.9121346,1600,1.7655999660491943
1744831960.8774443,1625,1.7726999521255493
1744831993.8096523,1650,1.7882000207901
1744832026.6025686,1675,1.787500023841858
1744832059.55965,1700,1.766700029373169
1744832423.6035542,1725,1.770799994468689
1744832456.5413055,1750,1.7657999992370605
1744832489.4105763,1775,1.7692999839782715
1744832522.2602763,1800,1.7646000385284424
1744832555.208816,1825,1.7604000568389893
1744832914.503438,1850,1.7831000089645386
1744832947.2448893,1875,1.8032000064849854
1744832980.1690493,1900,1.7163000106811523
1744833013.054559,1925,1.7170000076293945
1744833045.970706,1950,1.7802000045776367
1744833078.8716345,1975,1.7640999555587769
1744833440.381109,2000,1.7282999753952026
1744833472.1193407,2025,1.742300033569336
1744833503.905467,2050,1.7127000093460083
1744833535.9155676,2075,1.7640000581741333
1744833568.2220383,2100,1.7559000253677368
1744833600.118422,2125,1.7237000465393066
1744833959.3534808,2150,1.729599952697754
1744833991.3096182,2175,1.7036000490188599
1744834023.2654886,2200,1.7178000211715698
1744834055.2989962,2225,1.7345000505447388
1744834087.269799,2250,1.718400001525879
1744834450.6654284,2275,1.674299955368042
1744834482.4851415,2300,1.6998000144958496
1744834514.425319,2325,1.6966999769210815
1744834547.2750292,2350,1.7345999479293823
1744834579.0176604,2375,1.6998000144958496
1744834610.6874654,2400,1.7049000263214111
1744834964.2560515,2425,1.7044999599456787
1744834996.0528522,2450,1.7137999534606934
1744835027.8137496,2475,1.7204999923706055
1744835059.7010236,2500,1.7244999408721924
1744835091.496629,2525,1.7173999547958374
1744835123.4151764,2550,1.6928999423980713
1744835475.1206164,2575,1.6836999654769897
1744835506.8761787,2600,1.7092000246047974
1744835538.6390197,2625,1.6960999965667725
1744835570.3261695,2650,1.68340003490448
1744835601.8578458,2675,1.7003999948501587
1744835949.070519,2700,1.7081999778747559
1744835980.6108172,2725,1.6746000051498413
1744836012.3075194,2750,1.6561000347137451
1744836043.8840916,2775,1.719599962234497
1744836075.677429,2800,1.7056000232696533
1744836107.4264777,2825,1.6584999561309814
1744836459.73195,2850,1.6589000225067139
1744836491.5325572,2875,1.7036999464035034
1744836523.2622116,2900,1.6680999994277954
1744836555.200148,2925,1.6708999872207642
1744836587.0678818,2950,1.6899000406265259
1744836618.7206848,2975,1.6991000175476074
1744836968.5053058,3000,1.6888999938964844
1744837000.3271718,3025,1.6699999570846558
1744837032.132782,3050,1.6723999977111816
1744837064.0086746,3075,1.6719000339508057
1744837095.8316357,3100,1.6409000158309937
1744837444.3493145,3125,1.676200032234192
1744837476.2449532,3150,1.6693999767303467
1744837508.1760128,3175,1.642199993133545
1744837540.1531878,3200,1.680799961090088
1744837572.1086214,3225,1.6305999755859375
1744837604.259947,3250,1.6927000284194946
1744837955.7101383,3275,1.6643999814987183
1744837987.4857674,3300,1.657099962234497
1744838019.4789426,3325,1.6598000526428223
1744838051.5273051,3350,1.6452000141143799
1744838083.421609,3375,1.6597000360488892
1744838115.3739636,3400,1.6431000232696533
1744838484.8208373,3425,1.6678999662399292
1744838517.3474362,3450,1.6476999521255493
1744838549.6826968,3475,1.6970000267028809
1744838582.1747487,3500,1.6516000032424927
1744838614.616569,3525,1.6324000358581543
1744838647.0587068,3550,1.6211999654769897
1744839366.644015,3575,1.6492999792099
1744839463.5913339,3600,1.638700008392334
1744839560.607286,3625,1.7130000591278076
1744839657.5361197,3650,1.674399971961975
1744839754.857178,3675,1.6342999935150146
1744840578.6038008,3700,1.6542999744415283
1744840675.768283,3725,1.687000036239624
1744840772.7823927,3750,1.7050000429153442
1744840869.5957236,3775,1.6751999855041504
1744840966.979609,3800,1.6578999757766724
1744841063.8339617,3825,1.6612999439239502
1744841422.5392134,3850,1.6346999406814575
1744841455.0275602,3875,1.6545000076293945
1744841487.667909,3900,1.704200029373169
1744841520.264698,3925,1.6628999710083008
1744841552.8213897,3950,1.6576000452041626
1744841585.3516521,3975,1.652999997138977
